year,consensus_all_americans,consensus_all_american_count
1895,,0
1896,,0
1897,,0
1898,,0
1899,,0
1900,,0
1901,,0
1902,,0
1903,,0
1904,,0
1905,,0
1906,,0
1907,,0
1908,,0
1909,,0
1910,,0
1911,,0
1912,,0
1913,,0
1914,,0
1915,,0
1916,,0
1917,,0
1918,,0
1919,,0
1920,,0
1921,,0
1922,,0
1923,,0
1924,,0
1925,,0
1926,,0
1927,,0
1928,,0
1929,,0
1930,,0
1931,,0
1932,,0
1933,,0
1934,,0
1935,,0
1936,,0
1937,,0
1938,Waddy Young (End),1
1939,,0
1940,,0
1941,,0
1942,,0
1943,,0
1944,,0
1945,,0
1946,,0
1947,,0
1948,Buddy Burris (Guard),1
1949,,0
1950,Jim Weatherall (Tackle); Leon Heath (Fullback),2
1951,Jim Weatherall (Tackle),1
1952,"Billy Vessels (Halfback); Tom CatlinDespite being a first-team pick of five of the eight official selectors, Tom Catlin is not recognized by the NCAA as a consensus All-American. (Center)",2
1953,J. D. Roberts (Guard),1
1954,Kurt Burris (Center); Max Boydston (End),2
1955,Bo Bolinger (Guard),1
1956,Jerry Tubbs (Center); Tommy McDonald (Back),2
1957,Bill Krisher (Guard); Clendon Thomas (Back),2
1958,Bob Harrison (Center),1
1959,,0
1960,,0
1961,,0
1962,,0
1963,Jim Grisham (Fullback),1
1964,Ralph Neely (Tackle),1
1965,Carl McAdams (Linebacker),1
1966,,0
1967,Granville Liggins (Middle guard),1
1968,,0
1969,Steve Owens (Running backs),1
1970,,0
1971,Greg Pruitt (Running back); Tom Brahaney (Center),2
1972,Greg Pruitt (Running back); Tom Brahaney (Center),2
1973,Lucious Selmon (Middle guard); Rod Shoate (Linebacker),2
1974,Rod Shoate (Linebacker); Joe Washington (Running back); John Roush (Offensive guard),3
1975,Lee Roy Selmon (Defensive tackle); Dewey Selmon (Middle guard); Jimbo Elrod (Defensive end),3
1976,Mike Vaughan (Offensive tackle),1
1977,Zac Henderson (Defensive back),1
1978,Greg Roberts (Guards); Billy Sims (Running backs),2
1979,Billy Sims (Running backs); George Cumby (Linebackers),2
1980,Louis Oubre (Guards),1
1981,Terry Crouch (Offensive tackle),1
1982,Rick Bryan (Def. tackle),1
1983,Rick Bryan (Def. tackle),1
1984,Tony Casillas (Defensive tackle),1
1985,Tony Casillas (Defensive tackle); Brian Bosworth (Linebacker),2
1986,Keith Jackson (Tight end); Brian Bosworth (Linebacker),2
1987,Mark Hutson (Offensive guard); Keith Jackson (Tight end); Rickey Dixon (Defensive back); Dante Jones (Linebacker),4
1988,Anthony Phillips (Offensive guard),1
1989,,0
1990,,0
1991,,0
1992,,0
1993,,0
2002,Tommie Harris (Defensive line); Teddy Lehman (Linebacker),2
2003,Jason White (Quarterback); Tommie Harris (Defensive line); Teddy Lehman (Linebacker); Derrick Strait (Defensive back); Antonio Perkins (Return specialist),5
2004,Adrian Peterson (Running back); Jammal Brown (Offensive line),2
2005,,0
2006,,0
2007,Duke Robinson (Offensive lineman); Curtis Lofton (Linebacker),2
2008,Sam Bradford (Quarterback); Duke Robinson (Guards),2
2009,Trent Williams (Offensive tackle); Gerald McCoy (Defensive tackle),2
2010,Ryan Broyles (Wide receiver); Quinton Carter (Safety),2
2011,Ryan Broyles (Wide receiver),1
2012,,0
2013,Gabe Ikard (Offensive line),1
2014,,0
2015,,0
2016,Dede Westbrook (Wide receiver),1
2017,Baker Mayfield (Quarterback); Mark Andrews (Tight end); Orlando Brown Jr. (Offensive line),3
2018,Ben Powers (Offensive Line),1
2019,CeeDee Lamb (Wide receiver),1
2020,,0
2021,,0
2022,,0
2023,,0
2024,Danny Stutsman (Linebacker),1
2025,,0
