year,draft_picks_detail,draft_picks_r1_2,draft_picks_r3_7
1935,J. W. Wheeler (R2),1,0
1936,William Breeden (R3); Bo Hewes (R4); Red Conkright (R5),0,3
1937,Pete Smith (R3); Ed Parks (R9),0,1
1938,Waddy Young (R3); Hugh McCullough (R4); Earl Crowder (R10); Jim Thomas (R12); Gil Duggan (R15),0,2
1939,Dick Favor (R3); Jack Shirk (R4); Pop Ivy (R4); J. R. Manley (R9); Bob Seymour (R10); Al Coppage (R13); Justin Bowers (R13); Beryl Clark (R16); Ralph Stevenson (R18),0,3
1940,Hal Lahar (R9); Johnny Martin (R14),0,0
1941,Jack Jacobs (R2); Roger Eason (R3); Orville Matthews (R5); Marvin Whited (R15),1,2
1942,Homer Simmons (R10); Dub Lamb (R10); Bill Campbell (R17); Huel Hamm (R25),0,0
1943,Jim Tyree (R12); Ed Davis (R22); Clare Morford (R22); Max Fischer (R23); Joe Golding (R27),0,0
1944,W. G. Wooten (R3); Lee Kennon (R18); Stan Green (R25); Don Fauble (R28),0,1
1945,Thurman Tigart (R6); Tom Tallchief (R15); Derald Lebow (R23); John West (R32),0,1
1946,John Rapacz (R3); Buddy Burris (R5); Dave Wallace (R11); Charley Sarratt (R12); Jack Mitchell (R14); Wade Walker (R22); Bill Morris (R27),0,2
1947,Nute Trotter (R17); Ray Pearcy (R18),0,0
1948,Myrl Greathouse (R7); Jim Owens (R23),0,1
1949,George Thomas (R1); Stan West (R1); Leon Manley (R7); Dee Andros (R14); Darrell Royal (R20); George Brewer (R21),2,1
1950,Leon Heath (R1); Clair Mayes (R8); Nolan Lang (R9); Frankie Anderson (R11); Ed Lisak (R19),1,0
1951,Jim Weatherall (R2); Ed Rowland (R16),1,0
1952,Billy Vessels (R1); Eddie Crowder (R2); Buck McPhail (R3); Tom Catlin (R4); Dick Bowman (R15); Tom Carroll (R15),2,2
1953,Larry Grigg (R2); Marrill Green (R10); Roger Nelson (R14); J. D. Roberts (R17); Juel Sweatte (R30),1,0
1954,Max Boydston (R1); Kurt Burris (R1); Buddy Leake (R3); Bob Herndon (R16); Steve Champlin (R18); Carl Allison (R22),2,1
1955,Cecil Morris (R4); Bob Burris (R6); Bo Bolinger (R13); Joe Mobra (R20),0,2
1956,Jerry Tubbs (R1); Tommy McDonald (R3); Jimmy Harris (R5); Billy Pricer (R6); Ed Gray (R7); Bob Derrick (R12); Tom Emerson (R28),1,4
1957,Clendon Thomas (R2); Bill Krisher (R3); Doyle Jennings (R14); Dennit Morris (R18),1,1
1958,Dave Baker (R1); Bob Harrison (R2); Ross Coyle (R20),2,0
1959,Prentice Gautt (R2); Bobby Boyd (R10); Gilmer Lewis (R20),1,0
