year,offense_ppa,defense_ppa,offense_success_rate,defense_success_rate,sp_overall,sp_offense,sp_defense,offense_total_yards,offense_rushing_yards,offense_passing_yards,offense_turnovers,notes
2005,0.039675606091541964,-0.0036890723888197566,0.36275695284159615,0.32922318125770655,19,30.9,11.9,4257,2130,2304,28,
2006,0.05118252480250351,-0.03250154080370187,0.41244239631336405,0.3514792899408284,23.5,34.3,12.5,5162,2480,2786,36,
2007,0.10899119205035951,0.0020382452817939156,0.4434589800443459,0.37072649572649574,30.9,44.7,16.2,5379,2679,3678,20,
2008,0.1499205958983832,0.021786415425355473,0.46712463199214915,0.3711018711018711,32.4,52.3,18.1,7670,2779,4988,11,
2009,0.01859054698494195,-0.06491261440962244,0.39568345323741005,0.31812865497076026,22.3,31.4,8.6,5510,1750,3880,26,
2010,0.04303822795410795,0.002871174389607812,0.4458653026427962,0.34173387096774194,23.5,37.8,15.9,6739,1932,5001,18,
2011,0.09377303505148586,0.005277641197745801,0.4714566929133858,0.35382955771305286,30.1,42.7,14.6,6660,2118,4639,29,
2012,0.1372342510146916,0.06926424113735312,0.490625,0.37911464245175935,28.5,46,19.9,6472,2098,4374,20,
2013,0.06885116880559895,0.040162649059843035,0.42998897464167585,0.4,19.6,36.2,18.3,5499,2911,2588,16,
2014,0.21062882202890298,0.09195162034144652,0.4617801047120419,0.3971340839303992,19.2,39.9,22.2,6041,3395,2646,24,
2015,0.26855865735263595,0.07487073802926048,0.4839650145772595,0.3946322067594433,22.7,41.7,19.3,6893,2887,4006,18,
2016,0.3759432423191984,0.18988648900813307,0.5098445595854922,0.41683778234086244,26.1,48.7,22.9,7212,3078,4134,17,
2017,0.4188864886483956,0.14253194510001452,0.531850353892821,0.4039460020768432,25.5,49.8,24.2,8114,3049,5065,13,
2018,0.48060782663398344,0.2797090429081351,0.5459401709401709,0.4760076775431862,24.9,54,30,7991,3468,4523,12,
2019,0.40054844930031686,0.15450302746721853,0.5395833333333333,0.41460674157303373,22.9,46.1,24.9,7525,3361,4164,19,
2020,0.3208044304990558,0.08657670081684828,0.5045045045045045,0.3675675675675676,17.8,43,25.2,5442,1977,3465,14,
2021,0.3375633439338174,0.1873294599341509,0.4812206572769953,0.4174972314507198,16.8,41.1,25.6,5863,2438,3425,13,
2022,0.20773713481010028,0.202478444027713,0.45387062566277836,0.43373493975903615,15.4,40.8,26.5,6169,2859,3310,15,
2023,0.32535630547175637,0.07932783202503034,0.4941427050053248,0.380065717415115,15,38.5,22.6,6591,2368,4223,20,
2024,0.08696218938254188,0.05757133030436014,0.3922902494331066,0.3567110036275695,9.5,25.9,17.8,4311,2025,2286,21,
2025,0.10676333563471226,-0.015765056433670845,0.40364880273660203,0.3069544364508393,18.3,30.1,12.9,4609,1543,3066,16,
